party,year,pattern,match,sentence,protocol_id,is_correct__fill_in
S,2012,svenska folket,svenska folket,"Snart finns det väl ingen som kan berätta lumparminnen heller. Därför är det viktigt att vi arbetar aktivt med att förankra försvaret hos svenska folket. Ett viktigt steg på väg dit är att Försvarsmakten inte bara överväger, som det står i betänkandet, att inrätta försvarsmaktsråd på flera håll i landet utan också verkställer det.",GZ09116,
S,2014,svenska folket,svenska folket,Ändå – apropå självbilden – är ni övertygade om att det är det rätta receptet för Sverige. Jag tror inte att svenska folket riktigt håller med om det. Vi ska inte prata om arbetsmiljön.,H20942,
S,2015,svenska folket,svenska folket,Det är en bra dag för att ha den här debatten. Nu tänker vi ta det ansvar som svenska folket har gett oss och gå vidare med att stärka kvaliteten i välfärden. Jag ser fram emot en spännande debatt.,H20967,
S,2015,svenska folket,svenska folket,"Det som verkligen är intressant är ju att den gamla regeringen misslyckades med sin jobbpolitik. Det var också därför som svenska folket valde att rösta bort den. Man kan ha att göra med dåliga förlorare, men någon gång måste man kanske se framåt i stället för att satsa bara på skattesänkningar, som den gamla borgerliga regeringen gjorde.",H20977,
S,2015,svenska folket,svenska folket,"Det är som sagt en diskussion som vi har haft i flera år i det här landet. Det finns en stor oro hos stora delar av svenska folket, också i borgerliga led, för vad vinstintresset gör, inte minst inom hälso- och sjukvården. Det gäller riskkapitalister som Anders W Jonsson nu tydligen lyfter fram som föredömen inom svensk hälso- och sjukvård.",H20993,
S,2018,svenska folket,svenska folket,"Tack, Emil Källström! Jag är benägen att hålla med om att svenska folket är trött på den här debatten. Det är dags att vi faktiskt sätter ned foten och inför ett regelverk för hur resurserna ska användas.",H509125,
S,2024,vanliga svenskar,vanliga svenskar,Det är ganska intressant. Här radas upp ett antal svårigheter som många vanliga svenskar ute i Sverige just nu upplever. Jag tycker verkligen att det är ovärdigt ett land som ska vara en välfärdsstat att människor måste be om att få stöd och måste låna pengar till att köpa mat.,HB0962,
S,2024,vanligt folk,vanligt folk,Vi ser hur barn blir lidande av detta. Detta är något som bekostas av vår gemensamma välfärd och av vanligt folk. När Sverige står inför ekonomiska utmaningar krävs det en politik som tar hänsyn till både verkligheten och människors vardag.,HB09126,
S,2024,vanligt folk,vanligt folk,De bara stiger lite mindre. Om man då inte ser till att hjälpa vanligt folk blir det helt enkelt mindre mat på bordet. (Applåder) Herr talman!,HC0954,
SD,2011,svenska folket,svenska folket,"Därmed menar i alla fall jag att det är mer eller mindre att se som en muta. Det är kommuner som egentligen inte ser någon bäring i politiken, vi ser hur svenska folket över lag är negativt inställt till den stora invandringen av flyktingar, och samtidigt ska staten införa och höja ett ekonomiskt tillskott till kommunerna för att de över huvud taget ska vara villiga ställa upp på politiken. Jag tycker att det är mer eller mindre att betrakta som en muta.",GY0996,
SD,2012,det svenska folket,det svenska folket,"Jag skulle knappast tro det. Dessa partier kan inte heller säga att de har det svenska folket bakom sig. SCB:s stora novembermätning visar tvärtom att en klar majoritet, 55 procent, av det svenska folket saknar förtroende för EU.",GZ0970,
SD,2012,svenska folket,svenska folket,"Därefter ska det tas fram förslag och behandlas i vanlig ordning, vilket vi också vet tar ganska lång tid. Det är möjligt att jag var naiv som trodde att det skulle gå fortare att fatta beslut i frågan, men samtidigt tror jag att hela svenska folket skulle skriva under på att det är alldeles galet hur lång tid saker och ting tar här. Tusentals skuldsatta väntar på ytterligare hjälp, och för dem är tiden som gått redan en hel evighet.",GZ09121,
SD,2014,svenska folket,svenska folket,Det sätter vi före allting annat. De skattemedel som svenska folket betalar in ska i huvudsak gå till den svenska befolkningen. Det är vår absolut viktigaste prioritet.,H20920,
SD,2014,svenska folket,svenska folket,"Det får de stå ut med. Det är inte bara min syn, utan den synen delas av en stor del av svenska folket. Praxis följs och lyfts fram av partier när det gynnar deras eget syfte.",H20931,
SD,2015,svenska folket,svenska folket,"Jag tror inte det, och därmed blir pratet om att Abbas egentligen är en rätt gullig kille som tar avstånd och är för fred en stor lögn. Antingen vet Margot Wallström inte om det eller så står hon här och ljuger inför svenska folket – lika allvarligt båda två. Fru talman!",H30939,
SD,2016,vanligt folk,vanligt folk,Det är detta som det handlar om. Jag talar om något som är helt självklart för vanligt folk. Det handlar om dem som kommer till vårt land och inte ens är svenska medborgare.,H30976,
SD,2016,det svenska folket,det svenska folket,"Skäms ni inte över att svenska soldater vid en eventuell konflikt ska behöva slåss med usla förutsättningar? Skäms ni inte över att det svenska folket kommer att utsättas för ett onödigt lidande vid en eventuell storkonflikt? Allt detta hade kunnat undvikas om vi aldrig hade nedrustat totalförsvarsförmågan, men när vi nu väl har gjort det borde man ha öppnat ögonen för det som hände i omvärlden långt tidigare.",H40942,
SD,2017,svenska folket,svenska folket,"Sverigedemokraterna har som enda parti här i riksdagen föreslagit att lagen ska skärpas så att sådana här personer hålls i förvar till dess utvisningsbesluten går att verkställa. Min fråga blir: Om svenska folket vill att utvisningsdömda terrorsympatisörer, i stället för som nu gå fritt i vårt land, ska hållas i förvar tills utvisning går att verkställa, ska de då rösta på Socialdemokraterna eller ska de rösta på Sverigedemokraterna? Herr talman!",H409118,
SD,2019,det svenska folket,det svenska folket,Därför är det märkligt att man inte har tillfrågat svenska folket om de vill ha detta. Man har satt sig på någon sorts höga hästar och drivit igenom något som det svenska folket inte vill ha. Sverige håller på att slitas sönder.,H70925,
SD,2019,svenska folket,Svenska folket,"Kommer dessa ytterligare 8 000 att omfattas av samma EU-rätt? Svenska folket har rätt att veta regeringens ståndpunkt i frågan. Med det sagt vill jag ändå passa på att önska ministern, talmannen och övriga riksdagen en väldigt god jul.",H70955,
SD,2022,svenska folket,Svenska folket,Förslaget är redan nu tillräckligt tydligt med att kommissionen vill att delar av medlemsländernas skatteintäkter ska tillfalla EU. Svenska folket äger rätten att sig självt beskatta. Därför yrkar vi bifall till utskottets förslag till beslut.,H90977,
SD,2024,svenska folket,svenska folket,"Ett politiskt samtal som kretsar kring nedsättande epitet, allmänt tjafs, vantolkningar av vad motståndaren egentligen tycker och så vidare är inte vad Sverige behöver i detta läge, utan vi – jag och alla andra i den här församlingen – måste stå över detta. Vi måste sätta svenska folket framför okvädningsord, förolämpningar och en ständig grälsjuka. Herr talman!",HC093,
SD,2026,vanligt folk,vanligt folk,"Jag måste blanda mig i den här debatten lite grann. Det är intressant att lyssna på ledamoten, när resonemanget bygger på att vi ska öka kostnaderna för vanligt folk ute i landsbygden. Det är ju det hela det här resonemanget kokar ned till: Man ska tvinga människor att byta fordon, och man ska tvinga människor att investera stora pengar i ett fordon som de i grunden inte har råd med.",HD0972,
SD,2026,svenska folket,svenska folket,Men trovärdigheten faller platt när det är Jamal ElHaj som för fram ståndpunkten. Jag tror inte att Jamal El-Hajs lojalitet är gentemot Sverige eller svenska folket. Jag tror att hans lojalitet är gentemot det palestinska folket.,HD09133,
V,2005,vanligt folk,vanligt folk,"Den här gången kallades den visst för Utanförskapets karta. Varje gång, oavsett ämne, landar det hela i ungefär samma politiska förslag: hårdare tag, piskor för vanligt folk och en lättare tillvaro för de redan välbeställda. Någonstans där brukar man landa.",GT0915,
V,2008,svenska folket,svenska folket,"Den här undersökningen kom för bara en vecka sedan, men det finns flera andra undersökningar som visar på att kvinnor och män i vårt avlånga land har ett stort förtroende för Apoteket. Senast i dag har vi i DN kunnat läsa att svenska folket inte vill att Apoteket säljs. Svenska folket har förtroende för Apoteket.",GV09107,
V,2008,svenska folket,svenska folket,"Jag är helt övertygad om att vi alla behöver bidra för att vi ska kunna ha råd med välfärden, och jag är helt övertygad om att de flesta också är beredda att göra det. Sveriges Kommuner och Landsting gjorde en undersökning i våras som visade att en stor majoritet av svenska folket sade: Vi är beredda att betala mer i skatt om det går till bättre sjukvård, bättre förskola och skola för våra barn och bättre äldreomsorg för våra gamla. Om det går till ett bättre samhälle som håller ihop och som skapar rättvisa är vi beredda att betala mer i skatt.",GW0913,
V,2011,svenska folket,svenska folket,"De miljardvinster som riskkapitalbolagen gör varje år kommer inte ur tomma intet. Vinsterna representerar till större delen skattemedel som svenska folket betalat i tron att man bidrar till en bättre välfärd. År 2009 gjorde de sju största vårdföretagen en sammanlagd rörelsevinst på över 1,6 miljarder svenska kronor.",GY0969,
V,2011,svenska folket,Svenska folket,Det finns med i pakten för euron. Svenska folket sade mycket tydligt nej till euron. Vi vill inte vara med i denna pakt för en borgerlig och nyliberal ekonomisk politik.,GY0974,
V,2012,det svenska folket,det svenska folket,Vi vill att den här affären utreds i botten. Hemlighetsmakeriet och smusslandet grundar sig i att regeringen liksom merparten av det svenska folket inser att den här typen av affärer egentligen inte är försvarbara. Det måste få konsekvenser.,GZ0994,
V,2013,svenska folket,svenska folket,Då är levande skogar någonting helt avgörande om man bedriver turism i dessa områden. Jag tror också att skogen har en speciell plats i hjärtat hos svenska folket. Tänk på alla våra efternamn.,H00998,
V,2013,vanliga människor,vanliga människor,"I princip är det ett rättslöst tillstånd. Polisen, Kustbevakningen, åklagare, vanliga människor och även vattenskoteruthyrare vill ha ordning och reda på sjön. De vill att det ska finnas till exempel krav på förarbevis och en åldersgräns.",H009120,
V,2014,svenska folket,svenska folket,"Det är inte någon demokratisk hållning. Det är verkligen ingenting som svenska folket, löntagarna eller de fackliga organisationerna vill. Därför vill jag fråga statsrådet Mikael Damberg följande: Kommer Sverige och statsrådet att jobba för att lyfta ut investeringsskyddet ur dessa avtal, precis som Österrike och Tyskland har gjort, eftersom det är ett hinder för demokrati, öppenhet, miljö och människors och djurs hälsa?",H20911,
V,2019,vanligt folk,vanligt folk,"Vi kan inte ha ett skattesystem som dagens, som är riggat för de rikaste. Vi behöver i stället ett skattesystem för vanligt folk som baseras på jämlikhet. Det kommer tyvärr inte att ske med 73-punktsgänget och inte heller med det konservativa blocket, som vill bakåt i tiden.",H60968,
V,2019,vanligt folk,vanligt folk,"Jag har nu lyft upp och förklarat hur skev denna reform är. Det vore, så enkelt som det låter, mer rimligt att utjämna klyftorna och orättvisorna än att omfördela pengar från vanligt folk till de rika. Dessutom är det ett slöseri med våra gemensamma medel.",H60996,
V,2021,svenska folket,svenska folket,"Man har rätt avsett vad forskningen säger. Man har rätt oavsett vad svenska folket säger, som man påstår sig representera. Man bara tror det.",H90938,
V,2023,svenska folket,Svenska folket,"Och det är en cirkus som verkligen har fortsatt under den nuvarande utrikesministern Tobias Billström. Svenska folket har bara kunnat stå vid sidan av och undra vad det är som pågår med deras demokratiska fri- och rättigheter, med rättssäkerheten vid migration och med Sveriges internationella röst för fred, frihet och mänskliga rättigheter. Allt detta är värderingar som har hamnat i papperstuggen för att blidka president Erdoğan – utan någon vidare framgång.",HA0963,
V,2024,svenska folket,svenska folket,"Resultatet är bland världens djupaste skolsegregation. Det är ett marknadssystem som borde avskaffas så att den svenska skolan återigen kan bli en av världens bästa, vilket också en majoritet av svenska folket stöder. Men den här regeringen har inga som helst ambitioner att rätta till dessa experiment som förvärrar och fördjupar klyftorna i samhället.",HC0951,
V,2026,svenska folket,svenska folket,Det har jag svårt att förstå. Jag hoppas att svenska folket också inser det. Fru talman!,HD09137,
